,Date,goals_for,goals_against,goals,shots,shots_on_target,shots_on_target_pct,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,venue_code,time,day_code,hometeam_code,opponent_code,target
239,2019-05-12,2,2,2,11,3,27.3,19.4,1,0,0,0.6,0.6,0.06,1.4,1.4,22,12,6,11,5,9,13,69.2,4,10,4,6,9,31,17,0,1,15.0,6,0,4,2
240,2018-08-18,3,2,3,24,11,45.8,20.4,1,0,0,1.6,1.6,0.07,1.4,1.4,16,9,5,10,1,7,12,58.3,5,9,3,6,7,23,11,0,1,17.5,5,1,5,1
241,2018-08-26,2,1,1,14,2,14.3,19.6,0,1,1,1.5,0.7,0.05,-0.5,-0.7,17,8,6,4,7,6,8,75.0,2,6,2,4,5,22,22,0,0,16.0,6,1,8,1
242,2018-09-23,0,0,0,17,6,35.3,16.0,1,0,0,1.5,1.5,0.09,-1.5,-1.5,8,3,1,4,3,3,10,30.0,7,8,1,7,8,16,9,0,0,13.5,6,1,9,2
243,2018-09-29,1,1,1,10,4,40.0,13.2,0,0,0,1.1,1.1,0.11,-0.1,-0.1,13,9,10,3,0,4,11,36.4,7,13,3,10,12,25,24,1,1,17.5,5,1,3,2
244,2018-10-20,2,2,2,21,6,28.6,18.0,1,0,0,1.8,1.8,0.11,0.2,0.2,12,8,6,5,1,3,13,23.1,10,8,0,8,9,21,24,0,1,12.5,5,1,2,2
245,2018-11-04,3,1,3,15,6,40.0,17.4,0,0,0,1.7,1.7,0.12,1.3,1.3,21,12,9,10,2,7,19,36.8,12,8,3,5,2,23,11,0,1,16.0,6,1,10,1
246,2018-11-11,0,0,0,15,4,26.7,21.5,1,0,0,1.2,1.2,0.08,-1.2,-1.2,19,11,4,10,5,9,17,52.9,8,5,2,3,4,23,15,0,1,14.25,6,1,4,2
247,2018-11-24,1,3,1,13,2,15.4,17.5,0,0,0,1.0,1.0,0.08,0.0,0.0,15,7,6,5,4,5,17,29.4,12,12,3,9,22,37,8,0,0,17.5,5,1,0,0
248,2018-12-08,2,0,2,8,5,62.5,17.9,1,0,0,0.6,0.6,0.08,1.4,1.4,28,14,20,8,0,9,25,36.0,16,12,4,8,19,47,34,1,1,17.5,5,1,6,1
