Date,shots,shots_on_target,shots_on_target_pct,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,venue_code,time,day_code,hometeam_code,opponent_code,target,xg_rolling,npxg_rolling,shots_rolling,tackles_rolling,h2h_avg_result_3,h2h_avg_goals_3,h2h_avg_goals_against_3
2017-10-28,13,4,30.8,21.1,0,0,0,1.2,1.2,0.09,-1.2,-1.2,11,6,7,3,1,7,14,50.0,7,13,3,10,14,25,38,0,0,12.5,5,0,2,0,1.6666666666666667,1.6666666666666667,14.666666666666666,18.0,0.0,0.0,0.0
2017-11-04,15,7,46.7,15.0,0,0,0,2.7,2.7,0.18,1.3,1.3,20,16,10,9,1,3,12,25.0,9,11,0,11,7,27,23,0,0,17.5,5,3,9,1,1.1333333333333326,1.1333333333333344,16.0,19.666666666666668,0.0,0.0,0.0
2017-11-04,6,1,16.7,11.6,0,0,0,1.2,1.2,0.19,-0.2,-0.2,10,5,3,6,1,4,14,28.6,10,16,1,15,6,16,14,0,1,17.5,5,9,3,0,0.6999999999999987,0.7000000000000016,10.666666666666666,19.0,0.0,0.0,0.0
2017-11-05,6,3,50.0,20.5,1,0,0,0.3,0.3,0.05,0.7,0.7,16,10,9,7,0,3,19,15.8,16,7,2,5,15,31,14,0,0,14.25,6,5,6,0,2.4333333333333327,2.4333333333333353,22.0,15.333333333333334,0.0,0.0,0.0
2017-11-05,18,8,44.4,17.2,0,0,0,1.6,1.6,0.09,-0.6,-0.6,14,10,5,7,2,5,9,55.6,4,12,5,7,17,31,18,0,1,16.5,6,1,2,1,0.7000000000000001,0.7000000000000002,10.666666666666666,18.333333333333332,0.0,0.0,0.0
2017-11-05,10,2,20.0,21.6,1,0,0,0.7,0.7,0.07,-0.7,-0.7,13,5,4,9,0,7,17,41.2,10,11,4,7,14,27,23,1,0,16.5,6,2,1,0,1.266666666666666,1.2666666666666673,11.666666666666666,15.666666666666666,0.0,0.0,0.0
2017-11-05,8,4,50.0,16.5,0,1,1,1.8,1.0,0.13,1.2,1.0,18,12,9,7,2,3,8,37.5,5,9,0,9,14,32,24,0,1,14.25,6,6,5,1,2.5999999999999996,2.6000000000000028,18.333333333333332,13.0,0.0,0.0,0.0
2017-11-05,11,3,27.3,17.5,0,0,0,0.8,0.8,0.07,-0.8,-0.8,19,13,10,8,1,6,13,46.2,7,8,4,4,16,35,44,1,0,12.0,6,10,0,0,1.599999999999999,1.333333333333335,14.333333333333334,20.0,0.0,0.0,0.0
2017-11-05,12,2,16.7,20.2,0,0,0,0.9,0.9,0.07,0.1,0.1,20,10,8,10,2,5,13,38.5,8,7,3,4,13,33,32,1,1,12.0,6,0,10,1,1.4666666666666668,1.4666666666666668,14.0,17.333333333333332,0.0,0.0,0.0
2017-11-18,14,4,28.6,16.8,0,0,0,0.7,0.7,0.05,-0.7,-0.7,12,7,2,7,3,5,12,41.7,7,18,5,13,17,29,23,1,0,12.5,5,0,5,0,1.3666666666666665,1.3666666666666665,13.0,17.666666666666668,0.0,0.0,0.0
2017-11-18,16,7,43.8,11.5,0,0,0,3.1,3.1,0.19,0.9,0.9,15,12,6,7,2,5,17,29.4,12,5,1,4,5,20,21,0,1,17.5,5,2,8,1,0.5666666666666661,0.5666666666666672,9.0,14.333333333333334,0.0,0.0,0.0
2017-11-18,14,5,35.7,16.4,1,0,0,2.1,2.1,0.15,-0.1,-0.1,18,10,12,5,1,6,21,28.6,15,8,2,6,16,34,39,2,1,12.5,5,5,0,1,2.066666666666666,2.0666666666666687,20.333333333333332,14.333333333333334,0.0,0.0,0.0
2017-11-18,16,7,43.8,18.4,1,0,0,2.0,2.0,0.14,0.0,0.0,12,9,6,5,1,5,14,35.7,9,6,1,5,13,25,16,1,1,15.0,5,10,4,2,1.2999999999999992,1.0333333333333352,13.333333333333334,18.666666666666668,0.0,0.0,0.0
2017-11-18,12,5,41.7,19.5,0,0,0,1.1,1.1,0.1,-0.1,-0.1,18,13,12,5,1,12,24,50.0,12,12,3,9,9,27,39,0,0,17.5,5,8,2,0,0.6999999999999983,0.7000000000000015,10.666666666666666,14.666666666666666,0.0,0.0,0.0
2017-11-18,7,4,57.1,19.4,0,1,1,1.8,1.0,0.14,0.2,0.0,34,26,19,10,5,12,25,48.0,13,12,4,8,20,54,49,0,0,15.0,5,4,10,2,1.1999999999999997,0.9333333333333353,9.333333333333334,16.666666666666668,0.0,0.0,0.0
2017-11-25,15,4,26.7,17.1,0,0,0,1.2,1.2,0.09,-1.2,-1.2,10,7,3,4,3,2,7,28.6,5,9,3,6,14,24,15,0,1,15.0,5,2,7,1,1.5333333333333325,1.5333333333333339,12.333333333333334,12.333333333333334,0.0,0.0,0.0
2017-11-25,8,2,25.0,21.6,0,0,0,0.5,0.5,0.06,-0.5,-0.5,18,14,11,7,0,6,24,25.0,18,11,4,7,14,32,35,0,0,15.0,5,7,2,0,0.9333333333333317,0.8000000000000015,9.0,12.666666666666666,0.0,0.0,0.0
2017-11-25,16,4,25.0,18.3,1,0,0,1.2,1.2,0.08,-0.2,-0.2,19,11,8,8,3,5,23,21.7,18,14,3,11,10,29,35,0,1,17.5,5,3,1,2,1.5999999999999994,1.6000000000000012,15.333333333333334,21.0,0.0,0.0,0.0
2017-11-25,11,3,27.3,17.5,1,0,0,0.8,0.8,0.07,0.2,0.2,23,15,18,5,0,10,23,43.5,13,13,8,5,13,36,22,0,0,17.5,5,1,3,2,0.9666666666666668,0.9666666666666668,12.333333333333334,18.666666666666668,0.0,0.0,0.0
2017-11-28,10,4,40.0,20.8,1,0,0,0.5,0.5,0.06,-0.5,-0.5,9,7,5,3,1,3,11,27.3,8,11,3,8,13,22,29,0,0,19.75,1,10,7,2,1.7999999999999992,1.5333333333333352,15.333333333333334,17.333333333333332,0.0,0.0,0.0
2017-11-28,10,3,30.0,16.1,0,0,0,0.6,0.6,0.06,-0.6,-0.6,19,10,10,7,2,4,17,23.5,13,5,1,4,8,27,19,0,1,19.75,1,7,10,2,0.966666666666665,0.8333333333333348,8.666666666666666,15.333333333333334,0.0,0.0,0.0
