Date,shots,shots_on_target,shots_on_target_pct,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,venue_code,time,day_code,hometeam_code,opponent_code,target,xg_rolling,npxg_rolling,shots_rolling,tackles_rolling,h2h_avg_result_3,h2h_avg_goals_3,h2h_avg_goals_against_3
2017-09-30,4,2,50.0,11.5,0,0,0,0.5,0.5,0.14,-0.5,-0.5,19,13,12,6,1,7,15,46.7,8,11,6,5,9,28,23,0,1,17.5,5,1,6,0,0.8333333333333334,0.8333333333333335,13.333333333333334,19.333333333333332,0.0,0.0,0.0
2017-09-30,18,7,38.9,14.0,0,0,0,2.8,2.8,0.16,1.2,1.2,17,7,5,10,2,1,11,9.1,10,12,1,11,11,28,20,0,1,15.0,5,2,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-30,17,5,29.4,18.0,1,0,0,0.9,0.9,0.05,0.1,0.1,19,17,9,8,2,6,16,37.5,10,13,0,13,11,30,21,0,0,17.5,5,6,1,1,2.666666666666666,2.666666666666669,19.0,10.666666666666666,0.0,0.0,0.0
2017-09-30,6,1,16.7,18.0,0,0,0,0.4,0.4,0.06,-0.4,-0.4,20,11,7,11,2,10,22,45.5,12,18,5,13,14,34,18,0,0,15.0,5,10,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,25,8,32.0,18.4,2,0,0,2.4,2.4,0.1,-0.4,-0.4,15,11,10,3,2,8,18,44.4,10,10,3,7,11,26,20,0,1,12.0,6,5,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,8,5,62.5,24.8,0,0,0,0.3,0.3,0.04,0.7,0.7,14,10,10,4,0,0,10,0.0,10,11,6,5,13,27,39,1,1,16.5,6,8,3,2,1.5333333333333314,1.5333333333333348,13.333333333333334,13.333333333333334,0.0,0.0,0.0
2017-10-01,17,2,11.8,17.8,1,0,0,1.3,1.3,0.09,-0.3,-0.3,16,10,6,8,2,2,5,40.0,3,8,2,6,13,29,15,0,0,16.5,6,3,8,2,2.099999999999999,2.100000000000001,16.0,19.333333333333332,0.0,0.0,0.0
2017-10-01,9,1,11.1,19.9,0,0,0,0.4,0.4,0.04,-0.4,-0.4,10,6,9,1,0,3,13,23.1,10,16,9,7,19,29,24,1,0,12.0,6,7,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-14,19,5,26.3,17.9,0,0,0,1.5,1.5,0.08,-1.5,-1.5,17,15,6,10,1,7,17,41.2,10,8,3,5,7,24,29,1,1,12.5,5,3,2,2,1.6999999999999993,1.700000000000001,14.0,16.666666666666668,0.0,0.0,0.0
2017-10-14,6,1,16.7,24.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,21,12,14,7,0,5,27,18.5,22,11,6,5,12,33,31,1,0,12.5,5,2,3,2,2.599999999999999,2.333333333333334,18.0,15.0,0.0,0.0,0.0
2017-10-14,15,5,33.3,20.0,1,0,0,0.8,0.8,0.05,0.2,0.2,23,13,6,14,3,10,21,47.6,11,11,3,8,11,34,38,2,0,15.0,5,1,10,0,0.7666666666666666,0.7666666666666669,11.666666666666666,15.333333333333334,0.0,0.0,0.0
